,basin,Q_P,Q_ET,Q_var,Q_D,year
0,TNL,0.8862697398619299,-0.7267446142492892,64245.16572499875,-0.9263319125266968,2001
1,TNL,0.9042859160885498,-0.7093486086787448,114013.64927141058,-0.7731505402020414,2002
2,TNL,0.9225860447939059,-0.7064096552730594,140528.7448774941,-0.8620772212928105,2003
3,TNL,0.87713692110446,-0.738147250229953,100176.80711264077,-0.819305359026774,2004
4,TNL,0.9400586978042218,-0.6927475608399699,154435.93141013238,-0.5220586931268694,2005
5,TNL,0.9243167088345037,-0.7167833776690318,117503.87075037586,-0.7036125301777214,2006
6,TNL,0.8674524114152811,-0.7119851022497811,32070.807500318428,-0.7513590960765668,2007
7,TNL,0.900302455108234,-0.6884492028459899,49545.95415260397,-0.7699227614535243,2008
8,TNL,0.8956536064615273,-0.6192120620110635,128857.7023724026,-0.5896368512902638,2009
9,TNL,0.9360168263591355,-0.6353338811809492,262999.2272617025,-0.8231650342164475,2010
10,TNL,0.9258578802547515,-0.6150651375640356,57747.90474388601,-0.5514904728979892,2011
11,TNL,0.8932398125803402,-0.609429004538361,139989.43492476988,-0.6219394701307023,2012
12,TNL,0.8587169855939283,-0.6610788235358634,5550.005455264778,-0.8250630380047661,2013
13,TNL,0.88015617381671,-0.5747996625871593,149187.54579914085,-0.7765458601881993,2014
14,TNL,0.8033830796841294,-0.6477210008104755,17924.901885896965,-0.741733038817757,2015
15,TNL,0.9228589420377359,-0.5180534086019292,197474.91828016995,-0.6499416783177662,2016
16,TNL,0.9242568670329596,-0.44983716934495527,59424.00067259158,-0.35778433217668154,2017
17,TNL,0.8223476169795234,-0.5704277719393351,30261.60076505916,-0.7229502234076686,2018
18,TNL,0.9199920061755684,-0.5843603665261663,129459.25164618359,-0.632743372714335,2019
19,TNL,0.8717754185239746,-0.5382620181227905,13724.393667595043,-0.6238272200143321,2020
20,TNL,0.7786382369781549,-0.7712165182645511,88637.71995346226,-0.8121828296461406,2021
21,TNL,0.7699682098446586,-0.8487771648046604,17881.462412748515,-0.7516657285169266,2022
22,TNL,0.8814496179315453,-0.6021258423258417,57765.76938561533,-0.646681182316506,2023
23,SIS,0.924755472344463,0.5433918629344635,59531.771757189694,0.015638129508246494,2001
24,SIS,0.9602707550880829,0.5897553942085354,194348.19694410104,0.08809338318271202,2002
25,SIS,0.9661716888510103,0.5872737841034178,201165.93829511825,0.12429231753877912,2003
26,SIS,0.9628230236318333,0.5786696325346714,138664.18880578948,0.00869662496309028,2004
27,SIS,0.9673377818320429,0.5966342208989894,375103.12996370636,-0.21803748974233889,2005
28,SIS,0.9741426267650081,0.6212283951525632,281109.5909448607,0.10524706322874464,2006
29,SIS,0.9037739405654093,0.5104466574780301,34098.595265697375,-0.12589367662602188,2007
30,SIS,0.9352852768014673,0.5432917266940626,70654.2007425726,-0.09973987644405632,2008
31,SIS,0.91759487920158,0.49707679217791,109114.03179339594,-0.32946155544729916,2009
32,SIS,0.9714853225815827,0.6232388528981672,542691.227144982,-0.4117681487706385,2010
33,SIS,0.9576838850394741,0.5701757300703385,125593.2001802332,-0.39974026090493964,2011
34,SIS,0.9440704484879066,0.5844735782166839,268576.0801010932,-0.3076391968930925,2012
35,SIS,0.7808517896420476,0.3408249930443242,3578.01469096495,-0.40723640114508425,2013
36,SIS,0.8963420107795761,0.44215319127877706,131947.62178680208,-0.35891965430066614,2014
37,SIS,0.840677543017694,0.3367453481447088,25643.03620437058,-0.40762053851084784,2015
38,SIS,0.9657747769759536,0.6754586290644216,486774.8857223391,-0.34828303867792537,2016
39,SIS,0.9763048288140115,0.6899820685771859,423199.6349211522,-0.24181117761173165,2017
40,SIS,0.8990939866676789,0.4451394852138868,40625.210561667096,-0.21002776482973173,2018
41,SIS,0.9691263458704409,0.6186690215358014,370161.451040715,-0.20809387048947153,2019
42,SIS,0.917132802466747,0.5073241443637745,25935.061249470044,-0.24148769089832284,2020
43,SIS,0.781087064766468,0.2553231834453184,56631.17749693437,-0.2846145194303986,2021
44,SIS,0.7094926191084934,0.155196187251947,16735.82737591177,-0.38570078289380594,2022
45,SIS,0.9539845538047,0.5687213640497931,229942.97012013046,-0.24959368428179834,2023
46,SDT,0.8393474563497869,-0.0355403702831252,33384.878289662156,-0.21048014591947986,2001
47,SDT,0.8650160345599067,0.024466166252762923,90090.61756703262,-0.20522828083175917,2002
48,SDT,0.8386469664111987,-0.14549268482688,88108.45537693513,-0.2807886032530343,2003
49,SDT,0.804936101486814,-0.12743287561856234,42995.856731066626,-0.15322572378633667,2004
50,SDT,0.8591710465044398,0.04331687474419564,65628.10867242374,0.04976408959077768,2005
51,SDT,0.8054864922148142,-0.09941835648171231,60514.928232413906,-0.17010580726230615,2006
52,SDT,0.7432751244463885,-0.05475476186261227,17734.97923198936,-0.3231454370275158,2007
53,SDT,0.8525562612650365,0.11035972075412634,37767.16005709425,0.07052639257407137,2008
54,SDT,0.8105851917386125,-0.14978105756247803,73957.2106953443,-0.28468473079073175,2009
55,SDT,0.8998316177242697,0.13479472197916878,141217.4530871976,-0.0002509512347991358,2010
56,SDT,0.8064155965949942,-0.12394443936128703,23265.37012627466,-0.2155289713472727,2011
57,SDT,0.8044916505679383,-0.17674684965052412,83522.44499850273,-0.21413716164135513,2012
58,SDT,0.31650823477712814,-0.6106934930667958,2893.8565738658426,-0.6159284697990984,2013
59,SDT,0.7808203274290334,-0.11217554732483855,77347.3420995344,-0.42145962446933294,2014
60,SDT,0.341166909117319,-0.5644223152022168,10335.10101277882,-0.608801704435717,2015
61,SDT,0.8833769099460898,0.20715805077392346,100732.21773118024,0.17140203410872484,2016
62,SDT,0.907673401664881,0.2400212023135547,67448.61293490126,0.15938140545779447,2017
63,SDT,0.8042563944104589,-0.24050644293847,29934.46309218137,-0.3858812165740606,2018
64,SDT,0.9061367235266211,-0.26377292783861594,135649.5583061346,-0.3661017576127121,2019
65,SDT,0.8596218308760928,-0.2854564870669995,21272.056889362935,-0.3683389764677862,2020
