,basin,D_P,D_ET,P_ET,D_var,P_var,ET_var,year
0,TNL,-0.8431217876258876,0.8256616445194257,-0.5326096852462253,12600.075681640797,56171.263785671064,5568.192916458284,2001
1,TNL,-0.585907904808907,0.9614811066308694,-0.5266951147122374,4000.784352828564,77594.56136206843,6495.637062696625,2002
2,TNL,-0.7423506733542697,0.8833583099154565,-0.5467699968250275,6733.843202506648,140523.35845225552,8551.5909449633,2003
3,TNL,-0.612497859225404,0.9594373032409859,-0.5205404519939648,4209.432876195676,85789.31579358314,6625.4435992394965,2004
4,TNL,-0.39847455919814906,0.9292056479070526,-0.5832642020164795,1238.1429072237465,115416.58062952179,4218.440967037292,2005
5,TNL,-0.5409939020670871,0.9789019570732118,-0.5546663429483267,2905.763616447408,123337.64714424196,7017.440707016666,2006
6,TNL,-0.5336702422979009,0.9518171029874839,-0.435719094604239,4086.693792244098,21043.201191742522,6809.993630993835,2007
7,TNL,-0.5884031164812384,0.9793828464845303,-0.48624560628348057,5338.591012436502,35681.901166945165,6447.273456536663,2008
8,TNL,-0.4464649995835082,0.8458935223142621,-0.39222523458773656,3444.9155115763065,66719.9781001725,4960.279108846703,2009
9,TNL,-0.7353030028688046,0.9225460815900425,-0.5325585187469072,4218.87095214324,132086.1010215446,3375.694744891501,2010
10,TNL,-0.4381676881547282,0.9535749713907712,-0.498965305518862,1392.406065887514,129018.49186501584,3938.3294164958247,2011
11,TNL,-0.38281973588686635,0.9844378790505548,-0.3743511894051306,2839.562980215776,43748.68121599733,4827.015667834879,2012
12,TNL,-0.7926473190100544,0.8562798902591578,-0.49519271148514143,7623.005484262111,60464.936725227104,5387.062894601702,2013
13,TNL,-0.5902176204971016,0.8091487966899868,-0.2752763319447269,8080.739808580048,20699.895641406194,5139.273399291036,2014
14,TNL,-0.41493296450705347,0.878107630912461,-0.22939552141365036,5344.02852943415,52916.909771546576,5607.073327412612,2015
15,TNL,-0.4709862334903837,0.9425855223396891,-0.3242807075147104,2433.1904938874527,52671.84117401471,3209.238072410402,2016
16,TNL,-0.3106077297094606,0.9185408199302585,-0.42556398168141424,1544.823523966063,176109.07551526223,3326.1583406504515,2017
