,SWE
2000-10-31,36.349625382018246
2000-11-30,-3.5982714042511077
2000-12-31,-23.770845422798743
2001-01-31,100.2287810622255
2001-02-28,207.25163857784156
2001-03-31,-2.0743107214785823
2001-04-30,109.82262566344355
2001-05-31,-95.42472909843343
2001-06-30,-95.85032826168856
2001-07-31,-96.10723927625946
2001-08-31,-98.58648385806015
2001-09-30,-59.89648920399398
2001-10-31,-36.018901952224496
2001-11-30,99.24554173926512
2001-12-31,87.14328612992989
2002-01-31,-181.20652009336268
2002-02-28,-0.943335814800605
2002-03-31,47.61932467201788
2002-04-30,-20.13334469506441
2002-05-31,-25.7736630620131
2002-06-30,-54.358182927798325
2002-07-31,-56.13452275784229
2002-08-31,-30.4932902567367
2002-09-30,-13.334140308678926
2002-10-31,-3.04941326431719
2002-11-30,22.723348869752822
2002-12-31,115.70432772929954
2003-01-31,-21.435564505706225
2003-02-28,33.93121609746328
2003-03-31,27.551441260970932
2003-04-30,54.14446858204332
2003-05-31,-13.476521883781174
2003-06-30,-52.21447166585796
2003-07-31,-58.85237253298227
2003-08-31,-41.069979062746214
2003-09-30,-32.065983049363815
2003-10-31,-15.406721491252831
2003-11-30,28.79689252847784
2003-12-31,137.08939105567836
2004-01-31,-18.821467211901307
2004-02-29,153.53585106318715
2004-03-31,-28.17850581978911
2004-04-30,-22.28282439283197
2004-05-31,-42.56124503235057
2004-06-30,-62.11928320522554
2004-07-31,-63.34082933877173
2004-08-31,-49.72773046295282
2004-09-30,-22.230773246438034
2004-10-31,58.763358767616026
2004-11-30,1.9053292782394493
2004-12-31,64.02357167031876
2005-01-31,145.19583028097054
2005-02-28,54.87767588006318
2005-03-31,120.3149184390594
2005-04-30,23.67789523765697
2005-05-31,-24.28561968626701
2005-06-30,-52.172374132434015
2005-07-31,-91.07805130154549
2005-08-31,-63.05211670663783
2005-09-30,-26.126456529932568
2005-10-31,-14.044977313487209
2005-11-30,-14.973110077910349
2005-12-31,104.96750785672123
2006-01-31,-135.7756096690622
2006-02-28,43.18059433442369
2006-03-31,158.45831339078205
2006-04-30,59.79519376509268
2006-05-31,-62.948730705699006
2006-06-30,-82.48269240889783
2006-07-31,-90.5163451494285
2006-08-31,-59.17169244025064
2006-09-30,-39.05471274149086
2006-10-31,-11.520378071923204
2006-11-30,-8.808135088606761
2006-12-31,49.46106912667733
2007-01-31,-76.73687594173799
2007-02-28,165.7206781426186
2007-03-31,-29.714410806800828
2007-04-30,-2.6858464878569066
2007-05-31,-47.81340994496287
2007-06-30,-57.33513372025439
2007-07-31,-56.653912417298606
2007-08-31,-32.53546439670657
2007-09-30,-5.673899888339794
2007-10-31,-1.4984894339586154
2007-11-30,-0.80472340556074
2007-12-31,47.03758447766097
2008-01-31,152.55147558356725
2008-02-29,177.81653576790404
2008-03-31,-8.33931814459271
2008-04-30,-31.64998227051973
2008-05-31,-51.54407762226754
2008-06-30,-84.4764353028313
2008-07-31,-85.58106173857756
2008-08-31,-54.64603024678943
2008-09-30,-30.31519408589751
2008-10-31,-12.56181434083215
2008-11-30,-1.4689839373203561
2008-12-31,90.0460340108574
2009-01-31,15.727538042995846
2009-02-28,115.63831004707889
2009-03-31,14.905848311109821
2009-04-30,-22.661661321896162
2009-05-31,-64.31967416010741
2009-06-30,-36.070544016748585
2009-07-31,-57.60431757923304
2009-08-31,-38.65257768036714
2009-09-30,-20.800783144647415
2009-10-31,-3.9166236208333327
2009-11-30,-0.26639634874425155
2009-12-31,129.13659549082928
2010-01-31,330.6832821007497
2010-02-28,91.20770243285591
2010-03-31,58.689627331891984
2010-04-30,140.4070511650774
2010-05-31,-20.77465182759795
2010-06-30,-88.1069400678814
2010-07-31,-115.36571920909046
2010-08-31,-80.95669374928985
2010-09-30,-62.176697785289775
2010-10-31,-31.615142719915013
2010-11-30,76.01777180793937
2010-12-31,153.3538368164323
2011-01-31,-480.6220427027979
2011-02-28,136.3433685303077
2011-03-31,191.6150512765777
2011-04-30,-14.023639801898184
2011-05-31,5.954132466043461
2011-06-30,-63.56370483270854
2011-07-31,-84.21348195610966
2011-08-31,-72.90471261766118
2011-09-30,-50.28552653884768
2011-10-31,-12.366883145725836
2011-11-30,11.622689174822767
2011-12-31,-6.014946251813598
2012-01-31,-3.285937789207736
