,SWE
1999-10-31,0.0
1999-11-30,2.969697
1999-12-31,-1.3636364
2000-01-31,67.03029939999999
2000-02-29,125.36364
2000-03-31,-68.51515
2000-04-30,-104.969698
2000-05-31,-20.515152
2000-06-30,0.0
2000-07-31,0.0
2000-08-31,0.0
2000-09-30,0.0
2000-10-31,9.393939
2000-11-30,-6.0606057
2000-12-31,2.7272727000000003
2001-01-31,75.303034
2001-02-28,120.87879000000001
2001-03-31,-173.909096
2001-04-30,-26.848485500000002
2001-05-31,-1.4848485
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,0.0
2001-10-31,0.0
2001-11-30,41.090908
2001-12-31,142.636372
2002-01-31,-22.121219999999994
2002-02-28,-55.09091000000001
2002-03-31,-20.666660000000007
2002-04-30,-81.2424295
2002-05-31,-4.6060605
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,0.0
2002-12-31,157.93939
2003-01-31,-83.393934
2003-02-28,-10.212119999999999
2003-03-31,-22.636368000000004
2003-04-30,40.181816
2003-05-31,-81.878784
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.030303031
2003-11-30,8.606060969000001
2003-12-31,108.363636
2004-01-31,34.36363
2004-02-29,93.93939
2004-03-31,-207.96968800000002
2004-04-30,-37.333332
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,17.969696
2004-11-30,-4.4545439999999985
2004-12-31,61.878783999999996
2005-01-31,53.12121400000001
2005-02-28,-48.272726000000006
2005-03-31,5.090912000000003
2005-04-30,-69.515154
2005-05-31,-15.818182
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,20.272728
2005-12-31,8.818182
2006-01-31,103.54545999999999
2006-02-28,-73.363642
2006-03-31,128.242422
2006-04-30,-58.151520000000005
2006-05-31,-129.36363
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,18.666666
2006-12-31,4.363638000000002
2007-01-31,-12.424243
2007-02-28,85.363635
2007-03-31,-95.60605963
2007-04-30,-0.3636363700000002
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,58.939392
2008-01-31,144.484848
2008-02-29,22.515150000000006
2008-03-31,-82.12120999999999
2008-04-30,-130.42424100000002
2008-05-31,-13.393939
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,97.15151
2009-01-31,-54.999994
2009-02-28,56.515147999999996
2009-03-31,-27.969694000000004
2009-04-30,-64.2121215
2009-05-31,-6.4848485
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.0
2009-11-30,4.121211999999998
2009-12-31,59.60606
2010-01-31,163.212118
2010-02-28,37.18182999999999
2010-03-31,-60.484849999999994
2010-04-30,-98.63637
2010-05-31,-98.848485
2010-06-30,-6.151515
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,67.242424
2010-12-31,59.515152
2011-01-31,-34.45454599999999
2011-02-28,163.15151
2011-03-31,113.24241999999998
2011-04-30,-170.39394
2011-05-31,-151.96968800000002
2011-06-30,-46.333332
2011-07-31,0.0
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,0.36363637000000004
2011-12-31,-0.303030308
2012-01-31,41.363637938
2012-02-29,-1.8787880000000001
2012-03-31,58.818184
2012-04-30,-90.06061
2012-05-31,-8.30303
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,-4.440892098500626e-16
2012-11-30,1.5454545
2012-12-31,115.2727295
2013-01-31,3.1818159999999978
2013-02-28,-54.818184
2013-03-31,-59.969695
2013-04-30,-5.212121
2013-05-31,0.0
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.030303031000000008
2013-11-30,-0.030303031
2013-12-31,-2.7755575615628914e-17
2014-01-31,0.0
2014-02-28,5.6969695
2014-03-31,22.272726499999997
2014-04-30,-27.969696
2014-05-31,0.0
2014-06-30,0.0
2014-07-31,0.0
2014-08-31,0.0
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.3636363700000001
2014-12-31,39.18181963
2015-01-31,-33.8787895
2015-02-28,-5.51515134
2015-03-31,-0.15151516
2015-04-30,1.249000902703301e-16
2015-05-31,0.0
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,0.0
2015-10-31,0.0
2015-11-30,5.212121
2015-12-31,81.939389
2016-01-31,41.030309999999986
2016-02-29,-85.81818399999999
2016-03-31,26.000004000000004
2016-04-30,-59.39394300000001
2016-05-31,-8.969697
2016-06-30,0.0
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,0.0
2016-11-30,50.666668
2016-12-31,-4.5454560000000015
2017-01-31,186.69696800000003
2017-02-28,7.666669999999982
2017-03-31,-44.24241999999998
2017-04-30,-94.78788600000001
2017-05-31,-101.454544
2017-06-30,0.0
2017-07-31,0.0
2017-08-31,0.0
2017-09-30,0.0
2017-10-31,0.0
2017-11-30,0.7878788000000004
2017-12-31,-0.7878788
2018-01-31,4.3030305
2018-02-28,0.5454545
2018-03-31,19.666667
2018-04-30,-24.454545938
2018-05-31,-0.060606062
2018-06-30,0.0
2018-07-31,0.0
2018-08-31,0.0
2018-09-30,0.0
2018-10-31,0.0
2018-11-30,10.151515
2018-12-31,10.303031
2019-01-31,63.787878
2019-02-28,200.545446
2019-03-31,-22.181820000000016
2019-04-30,-219.12120199999998
2019-05-31,-43.484848
2019-06-30,0.0
2019-07-31,0.0
2019-08-31,0.0
2019-09-30,0.0
2019-10-31,1.3877787807814457e-17
2019-11-30,26.39394
2019-12-31,36.848484
2020-01-31,5.5757600000000025
2020-02-29,-62.696972
2020-03-31,47.18182
2020-04-30,-53.303032
2020-05-31,0.0
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,35.090908
2021-01-31,34.181822
2021-02-28,15.393934000000002
2021-03-31,-11.060599999999994
2021-04-30,-73.606064
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,0.0
2021-08-31,0.0
2021-09-30,0.0
2021-10-31,1.1212121
2021-11-30,-1.1212121
2021-12-31,181.9697
2022-01-31,-68.81818999999999
2022-02-28,-97.363631
2022-03-31,-15.787879
2022-04-30,0.93939394
2022-05-31,-0.9393939399999998
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,0.0
2022-09-30,0.0
2022-10-31,0.0
2022-11-30,17.09091
2022-12-31,106.27273
2023-01-31,109.93938
2023-02-28,54.21211999999997
2023-03-31,70.93942000000004
2023-04-30,-251.24244000000002
2023-05-31,-107.21212
2023-06-30,0.0
2023-07-31,0.0
2023-08-31,0.0
2023-09-30,0.0
2023-10-31,
