,ET
2000-10-31,39.93699115044248
2000-11-30,11.326442477876107
2000-12-31,10.894017699115043
2001-01-31,10.250053097345132
2001-02-28,18.316176991150442
2001-03-31,41.943079646017694
2001-04-30,44.153769911504426
2001-05-31,92.5387610619469
2001-06-30,87.30803539823007
2001-07-31,93.23157522123896
2001-08-31,82.53125663716814
2001-09-30,73.78279646017698
2001-10-31,40.723964601769914
2001-11-30,21.360849557522123
2001-12-31,6.440778761061947
2002-01-31,7.724743362831858
2002-02-28,21.98853097345133
2002-03-31,41.67150442477876
2002-04-30,33.429380530973454
2002-05-31,68.2150796460177
2002-06-30,96.59313274336283
2002-07-31,97.91575221238938
2002-08-31,86.6381592920354
2002-09-30,68.92332743362832
2002-10-31,34.24141592920354
2002-11-30,29.21359292035398
2002-12-31,10.630796460176992
2003-01-31,12.670017699115043
2003-02-28,18.751858407079645
2003-03-31,41.265132743362834
2003-04-30,35.362831858407084
2003-05-31,85.01238938053098
2003-06-30,94.39150442477876
2003-07-31,99.79511504424778
2003-08-31,100.0427610619469
2003-09-30,80.12729203539823
2003-10-31,38.83525663716814
2003-11-30,17.22208849557522
2003-12-31,6.041769911504425
2004-01-31,7.085026548672567
2004-02-29,14.690548672566372
2004-03-31,42.332601769911506
2004-04-30,52.66364601769912
2004-05-31,54.00467256637168
2004-06-30,97.1692743362832
2004-07-31,100.99978761061946
2004-08-31,83.41946902654867
2004-09-30,68.73656637168142
2004-10-31,34.93989380530974
2004-11-30,13.405451327433628
2004-12-31,11.22067256637168
2005-01-31,9.52113274336283
2005-02-28,20.681769911504425
2005-03-31,39.99858407079646
2005-04-30,44.2809203539823
2005-05-31,83.75646017699114
2005-06-30,96.1369203539823
2005-07-31,104.25515044247788
2005-08-31,88.95292035398231
2005-09-30,66.41288495575222
2005-10-31,37.841274336283185
2005-11-30,28.33458407079646
2005-12-31,14.24991150442478
2006-01-31,9.607079646017699
2006-02-28,23.89012389380531
2006-03-31,31.88361061946903
2006-04-30,42.79178761061947
2006-05-31,78.37423008849558
2006-06-30,99.35178761061945
2006-07-31,104.12233628318585
2006-08-31,86.66506194690265
2006-09-30,65.92467256637168
2006-10-31,38.733592920353985
2006-11-30,23.848778761061947
2006-12-31,12.177274336283185
2007-01-31,14.812460176991149
2007-02-28,18.812460176991152
2007-03-31,43.600991150442475
2007-04-30,43.381097345132744
2007-05-31,84.88821238938053
2007-06-30,89.39242477876107
2007-07-31,96.21621238938053
2007-08-31,78.2735575221239
2007-09-30,61.61373451327434
2007-10-31,36.500814159292034
2007-11-30,33.97493805309735
2007-12-31,9.469734513274338
2008-01-31,10.85904424778761
2008-02-29,20.87844247787611
2008-03-31,40.77890265486726
