DATE TIME,AMF,MSS,SDT,TNL,PSH,YRS,WFC,CSN,EFC,MKM,WWR,EWR,SNS,MRC,SBF,KGF,KWT,SCC,KRI,FTO,SIS,SBB,TRF
1980-01-01,302,130,165,158,76,406,51,187,45,211,27,18,186,119,92,95,121,91,31,190,92,95,101
1980-02-01,179,181,256,207,65,257,31,172,29,136,17,14,124,116,80,83,110,88,36,152,103,120,53
1980-03-01,101,116,135,107,55,135,28,91,25,83,17,11,66,69,61,58,78,64,29,85,65,81,42
1980-04-01,102,82,111,129,37,144,111,46,64,116,56,19,98,77,89,89,81,45,46,76,42,41,104
1980-05-01,122,67,80,133,33,170,209,36,120,175,140,40,155,128,149,161,107,43,65,74,31,31,155
1980-06-01,75,50,38,67,18,96,140,13,108,154,194,42,130,129,182,220,130,32,63,37,20,19,97
1980-07-01,31,45,22,29,14,36,84,3,68,61,183,53,64,61,121,140,75,14,45,20,17,16,48
1980-08-01,4,41,16,3,12,10,26,0,17,6,48,19,12,13,32,36,19,6,16,9,15,13,11
1980-09-01,3,38,14,2,14,7,16,0,9,2,17,11,6,5,10,10,6,3,8,17,16,16,11
1980-10-01,4,39,18,4,16,9,11,0,7,1,11,8,4,4,6,5,4,2,6,12,15,16,6
1980-11-01,4,37,16,7,12,10,9,1,6,3,8,7,3,2,5,5,4,3,5,11,16,14,15
1980-12-01,10,55,42,43,18,23,10,3,6,5,8,8,5,4,8,7,7,5,6,30,26,27,11
1981-01-01,23,62,101,87,22,43,10,14,6,13,6,7,19,9,10,8,7,7,5,34,35,51,11
1981-02-01,34,76,114,107,24,71,16,11,10,23,8,9,19,12,16,14,14,12,7,47,41,48,22
1981-03-01,67,109,149,96,25,97,20,46,12,38,11,8,40,23,24,21,21,20,9,53,57,65,22
1981-04-01,73,70,88,105,24,106,85,24,39,96,46,8,79,54,58,61,43,22,15,50,32,35,44
1981-05-01,54,55,58,82,18,77,85,12,56,109,93,9,79,71,90,105,60,14,20,36,23,25,46
1981-06-01,11,43,25,27,15,20,34,0,29,29,72,14,27,30,59,65,33,5,15,15,16,16,13
1981-07-01,0,39,16,7,13,7,15,0,8,0,16,3,3,7,14,12,8,2,5,11,13,14,3
1981-08-01,0,36,12,1,12,5,10,0,5,0,7,1,1,2,5,4,2,0,3,10,12,13,3
1981-09-01,0,34,12,0,14,0,5,0,3,0,4,2,2,2,3,3,1,0,2,10,13,13,3
1981-10-01,10,44,23,12,15,17,8,1,5,5,6,5,4,2,5,5,3,2,3,19,17,17,6
1981-11-01,133,136,209,173,41,263,45,34,22,66,19,8,48,22,20,17,10,3,4,163,78,82,9
1981-12-01,210,158,254,244,54,333,70,78,35,111,23,8,90,28,18,16,12,6,4,174,98,112,11
1982-01-01,132,84,99,69,40,161,34,129,18,77,14,7,82,60,33,30,27,19,7,86,54,69,42
1982-02-01,224,131,174,181,60,287,73,149,61,176,31,16,159,90,56,40,34,23,11,150,85,92,121
1982-03-01,172,141,181,131,54,201,53,168,32,129,23,10,122,85,65,54,53,41,16,116,83,90,76
1982-04-01,283,196,264,173,73,380,126,212,89,254,75,23,210,192,174,162,162,94,46,222,116,118,143
1982-05-01,211,110,144,199,37,273,273,77,152,266,197,38,213,187,206,215,147,48,58,131,49,49,209
1982-06-01,97,71,56,104,23,130,183,21,130,167,213,57,122,118,166,185,100,21,44,58,27,28,117
1982-07-01,34,58,33,33,17,43,87,7,65,57,162,50,52,55,105,113,55,8,28,29,20,20,52
1982-08-01,10,50,20,7,15,11,29,2,21,15,61,25,12,16,42,41,19,3,13,16,18,16,14
1982-09-01,15,49,17,3,14,12,21,3,16,17,38,21,18,13,48,56,28,5,13,16,17,16,15
1982-10-01,42,55,41,30,17,51,35,10,26,57,35,23,42,23,35,38,29,9,10,28,21,20,6
1982-11-01,69,57,48,36,17,81,38,44,25,54,27,20,59,37,41,43,43,24,12,45,26,28,92
1982-12-01,141,121,163,103,34,155,28,132,23,89,18,20,77,67,60,62,73,54,16,83,61,73,119
1983-01-01,113,236,238,153,41,132,24,129,22,80,16,7,88,83,64,60,80,72,18,93,83,102,24
1983-02-01,174,219,313,188,65,242,22,172,25,117,15,14,119,104,77,69,101,105,27,157,125,156,28
1983-03-01,292,329,552,340,95,397,35,292,44,215,23,27,199,165,121,101,146,147,52,266,202,250,97
1983-04-01,151,175,223,179,53,183,47,119,40,119,31,21,103,88,79,64,84,83,41,134,84,97,99
1983-05-01,246,155,292,371,44,307,276,123,152,274,162,51,244,171,206,204,172,103,106,187,76,81,270
1983-06-01,236,101,207,340,30,306,431,59,230,349,324,98,307,294,331,356,241,87,130,147,47,45,275
1983-07-01,95,82,79,164,19,118,193,20,120,194,224,69,139,157,194,207,137,35,65,48,27,25,107
