,ET,P,SWE,wy,sumP,P_adj,D
2000-10-31,43.25768356669564,108.14221886533687,0.0,2001,108.14221886533687,108.14221886533687,0.0
2000-11-30,12.152943363415588,45.401822331677,1.967193889824392,2001,153.54404119701388,43.43462844185261,0.0
2000-12-31,10.663467754025122,87.52557334663143,20.506134231416883,2001,241.06961454364532,67.01943911521455,0.0
2001-01-31,10.382754175036727,147.86358247600896,53.11267139764251,2001,388.93319701965424,94.75091107836644,0.0
2001-02-28,17.61088717656582,270.7272314345522,118.12433846523936,2001,659.6604284542065,152.60289296931285,0.0
2001-03-31,39.1624501544089,116.61884937349849,-138.45763170555688,2001,776.279277827705,255.07648107905538,0.0
2001-04-30,41.73863340629028,69.54690900219363,-27.967975703632433,2001,845.8261868298986,97.51488470582606,0.0
2001-05-31,95.08306898929632,11.675990379200135,-28.32192687033918,2001,857.5021772090987,39.99791724953931,55.08515173975701
2001-06-30,98.0767331274548,49.97726914547615,-3.273454414241039,2001,907.4794463545749,53.25072355971719,99.91116130749462
2001-07-31,107.48801487122599,7.346701933822565,-1.0614024536925666,2001,914.8261482883975,8.408104387515133,198.99107179120546
2001-08-31,91.44107216742121,2.3421421452368927,0.0,2001,917.1682904336343,2.3421421452368927,288.0900018133898
2001-09-30,82.15234611579166,49.553990073880705,0.0,2001,966.722280507515,49.553990073880705,320.68835785530075
2001-10-31,42.4026024645459,65.31678700958187,1.2693949963916284,2002,65.31678700958187,64.04739201319025,299.0435683066564
2001-11-30,18.99568614517435,324.5762310641689,96.99699302381524,2002,389.8930180737508,227.57923804035366,90.46001641147711
2001-12-31,6.691310526789194,372.45839019675634,152.71096944912193,2002,762.3514082705071,219.7474207476344,0.0
2002-01-31,10.139499910055761,169.12846399856872,-32.98920495549672,2002,931.4798722690758,202.11766895406544,0.0
2002-02-28,18.357886910115724,126.47457126211059,-23.040113062304556,2002,1057.9544435311864,149.51468432441516,0.0
2002-03-31,40.651913413683516,93.06208852497392,-43.56065070964638,2002,1151.0165320561603,136.6227392346203,0.0
2002-04-30,44.758939857288475,58.72404707000301,-99.04949482800092,2002,1209.7405791261633,157.77354189800394,0.0
2002-05-31,80.52663908376805,51.24107934923017,-34.94425066153477,2002,1260.9816584753935,86.18533001076494,0.0
2002-06-30,101.72441566228936,8.729263904380412,-12.553253548231895,2002,1269.7109223797738,21.282517452612307,80.44189820967705
2002-07-31,100.16825328296457,0.7173893209009211,-4.840389704113543,2002,1270.4283117006748,5.557779025014463,175.05237246762715
